stat,role_bucket,held_date,reason,raw_ll,new_ll,raw_br,new_br,n_val,method,mean_delta_logloss,mean_delta_brier,worst_fold_delta_logloss,worst_fold_delta_brier,frac_folds_logloss_improved,frac_folds_brier_nonworse,n_folds
pts,rotation,2026-05-04,rollback_fold_guard_failed,0.7970688846613767,0.733097917907401,0.3005741821821823,0.2699640930309498,111.0,platt,,,,,,,
pts,rotation,2026-05-05,rollback_fold_guard_failed,0.6151659842168773,0.624980404647141,0.21381262448009505,0.21676753203993246,187.0,platt,,,,,,,
pts,rotation,2026-05-06,rollback_fold_guard_failed,0.5263840730680536,0.5762695705553892,0.17054861693121692,0.19268104082584953,105.0,platt,,,,,,,
pts,rotation,2026-05-07,rollback_fold_guard_failed,0.7038478002305601,0.6727365553103793,0.2558177333333333,0.24006874395671904,60.0,platt,,,,,,,
pts,rotation,2026-05-08,rollback_fold_guard_failed,0.579259044493472,0.6481904303029853,0.1947783806921675,0.22799631893513608,122.0,platt,,,,,,,
pts,rotation,2026-05-09,rollback_fold_guard_failed,0.6467982314990854,0.6481931929582094,0.22773916758747695,0.22804056592732536,181.0,platt,,,,,,,
pts,rotation,2026-05-10,rollback_fold_guard_failed,0.8419606843410553,0.833341436518362,0.3133007791005291,0.30426532868519596,84.0,platt,,,,,,,
pts,rotation,2026-05-11,rollback_fold_guard_failed,0.5817011379717347,0.6603439572366225,0.2001060598639456,0.2346085727671662,245.0,platt,,,,,,,
pts,rotation,2026-05-12,rollback_fold_guard_failed,0.47905766738938155,0.4619012108845021,0.1480331728395062,0.1392732961478424,18.0,platt,,,,,,,
pts,rotation,,fold_guard_summary,,,,,,platt,0.010235771633128226,0.00427909539474691,0.07864281926488781,0.034502512903220595,0.5625,0.5625,16.0
pts,rotation,2026-04-27,rollback_fold_guard_failed,0.8230183611396861,0.8101336789609608,0.3035476751515152,0.2939482515206076,275.0,line_aware,,,,,,,
pts,rotation,2026-04-28,rollback_fold_guard_failed,0.665899204501741,0.6524114585683174,0.2371456860398861,0.23006138990461242,195.0,line_aware,,,,,,,
pts,rotation,2026-04-29,rollback_fold_guard_failed,0.7051565950624986,0.6629239191373129,0.2561692328675981,0.2357288915000728,167.0,line_aware,,,,,,,
pts,rotation,2026-04-30,rollback_fold_guard_failed,0.6501497943840965,0.7240547816316474,0.22819818253968258,0.26456905028861094,224.0,line_aware,,,,,,,
pts,rotation,2026-05-01,rollback_fold_guard_failed,0.6375545564707947,0.6735598925641977,0.22388847138047138,0.24068153972328848,165.0,line_aware,,,,,,,
pts,rotation,2026-05-02,rollback_fold_guard_failed,0.8824522219183795,0.8081156919873075,0.3404451288244766,0.3062386120983017,69.0,line_aware,,,,,,,
pts,rotation,2026-05-03,rollback_fold_guard_failed,0.6076312958533571,0.5853629231007743,0.21065520820820816,0.19833498969891136,111.0,line_aware,,,,,,,
pts,rotation,2026-05-04,rollback_fold_guard_failed,0.7970688846613767,0.725577268983941,0.3005741821821823,0.2662975858921641,111.0,line_aware,,,,,,,
pts,rotation,2026-05-05,rollback_fold_guard_failed,0.6151659842168773,0.6535753626583198,0.21381262448009505,0.2304145544628165,187.0,line_aware,,,,,,,
pts,rotation,2026-05-06,rollback_fold_guard_failed,0.5263840730680536,0.5962369234090376,0.17054861693121692,0.20271470141466486,105.0,line_aware,,,,,,,
