stat,role_bucket,n,raw_nll,calibrated_nll,delta_nll_cal_minus_raw,raw_rps,calibrated_rps,delta_rps_cal_minus_raw,raw_mean,calibrated_mean,actual_mean,raw_mean_bias,calibrated_mean_bias,raw_p0,calibrated_p0,actual_p0,raw_p0_error,calibrated_p0_error,pit_mean,pit_std,pit_ks,ece,nll_threshold,caveats,status
stl,inactive_risk,593,0.8206599342634376,0.8190954260182202,-0.0015645082452174774,0.28731879070079985,0.286527507725897,-0.0007912829749028294,0.4787273454592955,0.4515555511899785,0.42495784148397975,0.05376950397531577,0.02659770970599873,0.6777782032490134,0.6983424249243728,0.7015177065767285,-0.023739503327715128,-0.0031752816523556993,0.5031787312889341,0.2846029990465346,0.026896536834823292,0.02288729321800788,0.005,,PASS
stl,fringe,607,0.7057285579523039,0.7015349737711681,-0.004193584181135801,0.23426803249687517,0.23158377962589288,-0.0026842528709822844,0.3686327374858656,0.3355474493978488,0.28171334431630973,0.08691939316955588,0.053834105081539074,0.7324998278623341,0.7570536796976812,0.7759472817133443,-0.04344745385101012,-0.018893602015663036,0.4915456966934939,0.28518501526926143,0.023095152999833113,0.04260925507695528,0.005,,PASS
stl,bench,1379,0.932138178635597,0.9336917176541257,0.0015535390185287268,0.3401936497800479,0.3393724234122394,-0.0008212263678085141,0.5376144537073866,0.47977021449697593,0.4757070340826686,0.06190741962471796,0.00406318041430731,0.6287563119524892,0.6650519323611401,0.659173313995649,-0.03041700204315989,0.005878618365491084,0.501965786925779,0.2908532127376627,0.017348764731479394,0.035349874188787794,0.005,,PASS
stl,rotation,1940,1.1511033921540266,1.1551136012602246,0.004010209106197982,0.42634054314183256,0.4279459303652633,0.001605387223430732,0.7386241252245399,0.6921365550253702,0.7067010309278351,0.03192309429670481,-0.014564475902464902,0.5167232141584401,0.5420127160345657,0.5298969072164949,-0.013173693058054714,0.012115808818070839,0.5049225395134308,0.2906426765707337,0.02458021601528182,0.03646565495094427,0.005,,PASS
stl,core,2098,1.2983210298372432,1.3010361903110048,0.0027151604737616353,0.5079983760254789,0.5090020123788014,0.0010036363533224568,0.9451478782550626,0.9726756852879868,0.9518589132507149,-0.0067110349956522874,0.020816772037271836,0.41622547640974256,0.42007841910923716,0.42469018112488083,-0.008464704715138271,-0.004611762015643672,0.49315701580922783,0.2840450925834855,0.021699428129291598,0.026217705890878986,0.005,,PASS
stl,starter,1336,1.4133626207501244,1.4153621457457182,0.001999524995593749,0.5601204133045621,0.5614885071509358,0.001368093846373708,1.0942875722058418,1.1161996555931384,1.1032934131736527,-0.009005840967810874,0.01290624241948568,0.350989093269653,0.3462781813389098,0.36077844311377244,-0.009789349844119444,-0.014500261774862633,0.4970569940193323,0.2942038143369987,0.02582738676274987,0.024266266623968635,0.003,,PASS
blk,inactive_risk,593,0.6410270627690668,0.6437144463287816,0.002687383559714762,0.21652017747766855,0.21613857378035709,-0.0003816036973114667,0.287105799290821,0.2574298121148137,0.31197301854974707,-0.0248672192589261,-0.05454320643493338,0.7947969620520505,0.8110615396142467,0.7807757166947723,0.014021245357278223,0.030285822919474348,0.5215628289364359,0.28360450722334785,0.04961321730406408,0.035111292851489645,0.005,sparse_p0_worsened_+0.016,PASS
blk,fringe,607,0.4387977984461638,0.432928435109887,-0.0058693633362768005,0.1341633884994742,0.13257940712985103,-0.0015839813696231775,0.21631346183231048,0.18188691714969746,0.15980230642504117,0.05651115540726931,0.022084610724656284,0.8376113863432004,0.8581423365366854,0.886326194398682,-0.04871480805548156,-0.02818385786199662,0.5104883441674837,0.2862905149311983,0.03775359024166636,0.03963201421988554,0.005,,PASS
blk,bench,1379,0.6636817724442863,0.6700834888880182,0.006401716443731886,0.23113391591132884,0.23244773978543887,0.001313823874110026,0.32110899969381274,0.2773570744081327,0.3110949963741842,0.01001400331962854,-0.03373792196605152,0.7700123089929465,0.7935790637311073,0.7846265409717187,-0.014614231978772207,0.008952522759388626,0.5102092337290888,0.2955029116971756,0.027144135385407053,0.03506212918129447,0.005,,REVIEW
blk,rotation,1940,0.8691134950189596,0.8744905351790792,0.005377040160119528,0.3048917030105024,0.30684225460357667,0.001950551593074279,0.4126175225959423,0.38027215916788626,0.45618556701030927,-0.04356804441436696,-0.07591340784242301,0.7121683623186783,0.7286857137629477,0.6860824742268041,0.026085888091874176,0.04260323953614353,0.515191461168681,0.29903137033529803,0.03974454924026849,0.051028211513142484,0.005,sparse_p0_worsened_+0.017,REVIEW
blk,core,2098,0.925304405462348,0.9365259574104647,0.011221551948116693,0.3381925575809355,0.34089716065157266,0.002704603070637135,0.5088950286442759,0.5013872934063037,0.5619637750238322,-0.053068746379556275,-0.06057648161752849,0.6603606793242334,0.6608021971586132,0.6348903717826502,0.025470307541583193,0.025911825375963038,0.5266284723210521,0.2920256402950284,0.04790833520474058,0.04209753144973759,0.005,,REVIEW
blk,starter,1336,0.9084445531281733,0.9104524985202268,0.0020079453920535117,0.3386367707102318,0.3394039411840131,0.0007671704737813312,0.5501714873886744,0.5390161293660376,0.5434131736526946,0.006758313735979793,-0.0043970442866569925,0.6233318360417791,0.6273973464555562,0.6264970059880239,-0.003165169946244828,0.0009003404675322901,0.5144696147306986,0.28458863451591887,0.030002059760407818,0.02025578307993862,0.003,,PASS
stocks,inactive_risk,593,1.064545114741846,1.0664726128941757,0.0019274981523296209,0.43606424801854976,0.43699157312316966,0.0009273251046199027,0.7660838111298481,0.7834478827373724,0.7369308600337268,0.02915295109612137,0.04651702270364566,0.5583572512647554,0.5553679566867317,0.581787521079258,-0.02343026981450258,-0.02641956439252635,0.4798323662072829,0.2853198018499142,0.053692662308417516,0.04665278071757416,0.005,,PASS
stocks,fringe,607,0.9138520183122396,0.9136770941721652,-0.00017492414007436174,0.3472907537026359,0.3480361536948798,0.0007453999922438781,0.5848435749588138,0.5996837174060148,0.4415156507413509,0.14332792421746288,0.15816806666466388,0.6202677100494235,0.6182185880383686,0.7100494233937397,-0.08978171334431617,-0.09183083535537107,0.456785337545416,0.27086232631653073,0.08860714612705262,0.09233299127300541,0.005,,PASS
stocks,bench,1379,1.195697892437939,1.1972857309400287,0.0015878385020897667,0.49938926399564904,0.500550489131849,0.0011612251361999282,0.8586638143582305,0.8705140916099056,0.7868020304568528,0.07186178390137765,0.08371206115305274,0.4943236403190718,0.4944119477217743,0.5373459028281363,-0.043022262509064546,-0.042933955106362,0.47876385340954447,0.2895600992668626,0.04453384818289641,0.06098671819665727,0.005,,PASS
stocks,rotation,1940,1.4045854155669666,1.405318955320364,0.0007335397533974053,0.6054079280322164,0.6059456711890834,0.0005377431568669433,1.1513329639175256,1.1852761739541935,1.1628865979381444,-0.01155363402061882,0.022389576016049073,0.37909414948453607,0.3760074848839089,0.38144329896907214,-0.0023491494845360728,-0.005435814085163249,0.49266068496436105,0.2870310587627248,0.016877098272732538,0.01610736727436642,0.005,,PASS
stocks,core,2098,1.5268416799785072,1.5280341233922918,0.0011924434137846607,0.6759587115836511,0.6765303924191186,0.0005716808354675473,1.4539514061010486,1.495408870359929,1.5138226882745471,-0.059871282173498575,-0.018413817914618047,0.2856732840800763,0.2847595264480558,0.280743565300286,0.004929718779790315,0.004015961147769809,0.5033614454122691,0.28814873976115524,0.01706670696821605,0.019578999906793938,0.005,,PASS
stocks,starter,1336,1.5849559981913566,1.5860928751153693,0.001136876924012764,0.7019651424232785,0.7019757837767179,1.0641353439422296e-05,1.6445721931137722,1.6602848889952746,1.6467065868263473,-0.0021343937125750667,0.013578302168927303,0.23062103293413172,0.23282923506805236,0.22380239520958084,0.00681863772455088,0.009026839858471525,0.4978542597039077,0.2870401538535091,0.013308699004678903,0.009989724023332593,0.003,,PASS
pa,inactive_risk,593,3.0032430421741347,2.9610589673066094,-0.04218407486752529,3.9247406091441825,3.68793661862356,-0.2368039905206225,4.2809162731871835,4.762007586072488,7.698145025295109,-3.417228752107926,-2.9361374392226214,0.3611183811129848,0.3070483625631914,0.23440134907251264,0.12671703204047213,0.07264701349067876,0.6034162948835343,0.3013844904652101,0.19946352666046624,0.16792289297372293,0.005,,PASS
pa,fringe,607,2.399992062935698,2.403553492118066,0.0035614291823677924,2.2239074353665567,2.2371019229945732,0.01319448762801656,3.7792677924217464,4.175090653037069,3.7298187808896213,0.04944901153212511,0.44527187214744757,0.2609816309719934,0.21726695236919347,0.3311367380560132,-0.07015510708401979,-0.11386978568681971,0.4607180490271928,0.30648296643967937,0.1042799898615871,0.034182707028253455,0.005,,PASS
pa,bench,1379,2.893244719314021,2.8730311843074783,-0.02021353500654266,3.0363515086856414,3.001100148114374,-0.03525136057126721,5.881882632342276,6.427327092943158,6.606236403190718,-0.7243537708484418,-0.17890931024756007,0.14674307469180564,0.12569382461483058,0.15010877447425672,-0.003365699782451076,-0.024414949859426133,0.5066484244854043,0.2899992867007636,0.022287389787990608,0.027078964888491375,0.005,,PASS
pa,rotation,1940,3.1989537751769874,3.1666755577534,-0.032278217423587385,3.5577322353698455,3.4633917558936345,-0.09434047947621105,9.57801574742268,10.46413787022033,10.794329896907216,-1.2163141494845355,-0.33019202668688585,0.04833827319587629,0.03532855474765523,0.030927835051546393,0.017410438144329896,0.004400719696108835,0.5204753477366835,0.2792477866908359,0.043610392291407285,0.025772589148790284,0.005,,PASS
pa,core,2098,3.413143055007195,3.3813894996988823,-0.03175355530831281,4.192858035824594,4.089602629958869,-0.1032554058657249,14.835859723546234,15.842813124025193,16.283603431839847,-1.447743708293613,-0.44079030781465356,0.01646229742612012,0.0125513402387446,0.00905624404194471,0.0074060533841754095,0.0034950961967998902,0.5161319867942054,0.27105092157944916,0.04847876136262544,0.03142361222328082,0.005,,PASS
pa,starter,1336,3.546593051838092,3.497589250135762,-0.04900380170233021,4.603757142266092,4.4758931243962845,-0.1278640178698076,22.21044734281437,23.15362255716579,23.57185628742515,-1.3614089446107798,-0.4182337302593595,0.006223502994011977,0.004775753994434032,0.0014970059880239522,0.004726497005988024,0.00327874800641008,0.5113862981190743,0.26218497807616886,0.058651472872008226,0.03790185010547785,0.003,,PASS
pr,inactive_risk,593,3.1321162438350294,3.0879105999439296,-0.04420564389109982,4.340920397091062,4.078785274694496,-0.26213512239656556,4.898851939291737,5.508602065564533,8.69814502529511,-3.799293086003373,-3.189542959730577,0.30733929173693086,0.2563232803658074,0.18549747048903878,0.12184182124789208,0.07082580987676865,0.6042431116746402,0.2975536533931753,0.1916910780013782,0.1782888641751917,0.005,,PASS
