stat,role_bucket,book,line,player_id,model_logloss,market_logloss,delta_logloss,model_brier,market_brier,delta_brier,model_p_over,market_no_vig_over_prob,actual_outcome,is_push
reb,core,williamhill_us,13.5,3547238,6.61278421411133,0.6871382693178106,5.925645944793519,0.9973156288925936,0.24699558070299588,0.7503200481895977,0.0013430874957138209,0.5030135004821601,14,False
reb,core,draftkings,13.5,3547238,6.61278421411133,0.7346038942382914,5.878180319873039,0.9973156288925936,0.2707168440310238,0.7265987848615698,0.0013430874957138209,0.4796954314720812,14,False
reb,core,bovada,12.5,3547238,5.8883640431638264,0.6931471805599453,5.195216862603881,0.9944646671391953,0.25,0.7444646671391953,0.002771507056083323,0.5,14,False
reb,core,hardrockbet,13.5,3547238,6.61278421411133,0.6558294175527503,5.95695479655858,0.9973156288925936,0.23135002674608574,0.7659656021465079,0.0013430874957138209,0.5190114068441064,14,False
reb,core,espnbet,13.5,3547238,6.61278421411133,0.8285518175661484,5.784232396545182,0.9973156288925936,0.3173280448504034,0.6799875840421903,0.0013430874957138209,0.43668122270742354,14,False
reb,core,fliff,13.5,3547238,6.61278421411133,0.6641596436866931,5.948624570424637,0.9973156288925936,0.2355103806228374,0.7618052482697562,0.0013430874957138209,0.5147058823529411,14,False
reb,core,hardrockbet_fl,13.5,3547238,6.61278421411133,1.0214694128192339,5.591314801292096,0.9973156288925936,0.40951620723184606,0.5877994216607476,0.0013430874957138209,0.36006546644844517,14,False
reb,core,hardrockbet_az,13.5,3547238,6.61278421411133,0.6558294175527503,5.95695479655858,0.9973156288925936,0.23135002674608574,0.7659656021465079,0.0013430874957138209,0.5190114068441064,14,False
ast,core,draftkings,4.5,3547238,2.060301860599105,0.46408061094261366,1.5962212496564911,0.7614037055053908,0.13785413194784832,0.6235495735575425,0.12741550236931726,0.6287128712871286,6,False
fg3m,core,draftkings,2.5,3547238,1.355707468122272,0.6533409301595255,0.7023665379627465,0.5509129889464192,0.23010770697518612,0.32080528197123304,0.25776486950130206,0.5203045685279188,3,False
fg3m,core,bovada,2.5,3547238,1.355707468122272,0.6931471805599453,0.6625602875623268,0.5509129889464192,0.25,0.30091298894641916,0.25776486950130206,0.5,3,False
fg3m,core,hardrockbet,2.5,3547238,1.355707468122272,0.7810085363512795,0.5746989317709925,0.5509129889464192,0.29382478819110847,0.2570882007553107,0.25776486950130206,0.45794392523364486,3,False
fg3m,core,hardrockbet_fl,2.5,3547238,1.355707468122272,0.5949874160877014,0.7607200520345706,0.5509129889464192,0.2010899072975528,0.34982308164886633,0.25776486950130206,0.5515695067264573,3,False
fg3m,core,hardrockbet_az,2.5,3547238,1.355707468122272,0.7810085363512795,0.5746989317709925,0.5509129889464192,0.29382478819110847,0.2570882007553107,0.25776486950130206,0.45794392523364486,3,False
pts,core,draftkings,13.5,3547246,0.5150398211218623,0.5819689367932269,-0.06692911567136461,0.1620249249700298,0.19466004605230236,-0.03263512108227257,0.4025231980520251,0.4412029533585449,13,False
pts,core,hardrockbet_fl,15.5,3547246,0.34191933580733475,0.5903376866937241,-0.24841835088638936,0.08386497055854589,0.19879102600511173,-0.11492605544656584,0.28959449331530096,0.4458598726114649,13,False
