date,game_id,player_id,player_name,stat,role_bucket,line,model_prob_over,market_probability_for_side,market_prob_over_no_vig,hit_result,actual,model_mean,model_variance,model_p0,actual_minutes,odds_snapshot_family,bookmaker_key,model_event_logloss,market_event_logloss,logloss_gap
2026-05-07,21708301.0,3547272.0,Isaiah Joe,fg3m,bench,0.5,0.9343672433209563,0.7676767676767676,0.7676767676767676,0.0,0.0,2.103737,1.2207207428310003,0.06563275667904367,,close_or_lock,espnbet,2.7236803680410673,1.4596256342054401,1.2640547338356272
2026-05-12,20314126.0,56677822.0,Victor Wembanyama,pts,core,26.5,0.15700000000000003,0.532258064516129,0.532258064516129,1.0,27.0,17.216666666666672,87.2123888888889,0.04566666666666667,,close_or_lock,betparx,1.851509473633829,0.6306268235786113,1.2208826500552177
2026-05-12,20314126.0,56677822.0,Victor Wembanyama,pts,core,26.5,0.15700000000000003,0.5306122448979592,0.5306122448979592,1.0,27.0,17.216666666666672,87.2123888888889,0.04566666666666667,,close_or_lock,espnbet,1.851509473633829,0.6337237600891445,1.2177857135446843
2026-05-06,21708674.0,137.0,Andre Drummond,pts,fringe,3.5,0.24600000000000005,0.816933638443936,0.816933638443936,1.0,6.0,2.4336666666666664,11.779599888888889,0.3596666666666667,,hist_lockday,fanduel,1.4024237430497741,0.20219741331595104,1.2002263297338231
2026-05-12,20054036.0,261.0,Luke Kornet,pts,core,2.5,0.8403333333333333,0.5,0.5,0.0,0.0,7.851333333333331,27.697231555555554,0.043,,close_or_lock,espnbet,1.834666970239331,0.6931471805599453,1.1415197896793856
2026-05-12,20054968.0,387.0,Julius Randle,fg3m,starter,0.5,0.8803566012669761,0.6383866481223922,0.6383866481223922,0.0,0.0,1.7300000000000002,1.13142,0.119643398733024,,close_or_lock,fliff,2.123239637624693,1.017179726705519,1.106059910919174
2026-05-12,18447193.0,17895983.0,Ayo Dosunmu,reb,inactive_risk,4.5,0.11633333333333329,0.33999999999999997,0.33999999999999997,1.0,9.0,1.4989999999999997,4.798665666666666,0.5496666666666665,,close_or_lock,espnbet,2.15129564544782,1.07880966137193,1.0724859840758898
2026-05-12,20054036.0,261.0,Luke Kornet,pts,core,2.5,0.8403333333333333,0.5346534653465347,0.5346534653465347,0.0,0.0,7.851333333333331,27.697231555555554,0.043,,close_or_lock,hardrockbet,1.834666970239331,0.7649729151312009,1.0696940551081302
2026-05-12,20054036.0,261.0,Luke Kornet,pts,core,2.5,0.8403333333333333,0.5346534653465347,0.5346534653465347,0.0,0.0,7.851333333333331,27.697231555555554,0.043,,close_or_lock,hardrockbet_az,1.834666970239331,0.7649729151312009,1.0696940551081302
2026-05-12,20054036.0,261.0,Luke Kornet,pts,core,2.5,0.8403333333333333,0.5346534653465347,0.5346534653465347,0.0,0.0,7.851333333333331,27.697231555555554,0.043,,close_or_lock,hardrockbet_fl,1.834666970239331,0.7649729151312009,1.0696940551081302
