game_date,player_name,team,opponent,stat,line,outcome_k,probability,cdf,survival_prob_ge_k,p_over_line_model,market_fair_over_prob,model_edge_vs_market,pmf_source
2026-04-27,Julius Randle,Minnesota Timberwolves,Denver Nuggets,ast,4.5,3,0.1831,0.4645,0.7185,0.3667,0.5455,-0.1788,cal_role_aware_v1
2026-04-27,Julius Randle,Minnesota Timberwolves,Denver Nuggets,ast,4.5,4,0.1688,0.6333,0.5355,0.3667,0.5455,-0.1788,cal_role_aware_v1
2026-04-27,Julius Randle,Minnesota Timberwolves,Denver Nuggets,ast,4.5,5,0.1463,0.7796,0.3667,0.3667,0.5455,-0.1788,cal_role_aware_v1
2026-04-27,Julius Randle,Minnesota Timberwolves,Denver Nuggets,ast,4.5,6,0.0932,0.8728,0.2204,0.3667,0.5455,-0.1788,cal_role_aware_v1
2026-04-27,Julius Randle,Minnesota Timberwolves,Denver Nuggets,ast,4.5,7,0.0643,0.937,0.1272,0.3667,0.5455,-0.1788,cal_role_aware_v1
2026-04-27,Julius Randle,Minnesota Timberwolves,Denver Nuggets,ast,4.5,8,0.032,0.9691,0.063,0.3667,0.5455,-0.1788,cal_role_aware_v1
2026-04-27,Julius Randle,Minnesota Timberwolves,Denver Nuggets,ast,4.5,9,0.0146,0.9837,0.0309,0.3667,0.5455,-0.1788,cal_role_aware_v1
2026-04-27,Julius Randle,Minnesota Timberwolves,Denver Nuggets,ast,4.5,10,0.0092,0.9929,0.0163,0.3667,0.5455,-0.1788,cal_role_aware_v1
2026-04-27,Julius Randle,Minnesota Timberwolves,Denver Nuggets,ast,4.5,11,0.0033,0.9962,0.0071,0.3667,0.5455,-0.1788,cal_role_aware_v1
2026-04-27,Julius Randle,Minnesota Timberwolves,Denver Nuggets,ast,4.5,12,0.0026,0.9988,0.0038,0.3667,0.5455,-0.1788,cal_role_aware_v1
2026-04-27,Julius Randle,Minnesota Timberwolves,Denver Nuggets,ast,4.5,13,0.0005,0.9993,0.0012,0.3667,0.5455,-0.1788,cal_role_aware_v1
2026-04-27,Julius Randle,Minnesota Timberwolves,Denver Nuggets,ast,4.5,14,0.0001,0.9994,0.0007,0.3667,0.5455,-0.1788,cal_role_aware_v1
2026-04-27,Julius Randle,Minnesota Timberwolves,Denver Nuggets,ast,4.5,15,0.0003,0.9997,0.0006,0.3667,0.5455,-0.1788,cal_role_aware_v1
2026-04-27,Julius Randle,Minnesota Timberwolves,Denver Nuggets,ast,4.5,16,0.0,0.9997,0.0003,0.3667,0.5455,-0.1788,cal_role_aware_v1
2026-04-27,Julius Randle,Minnesota Timberwolves,Denver Nuggets,ast,4.5,17,0.0,0.9997,0.0003,0.3667,0.5455,-0.1788,cal_role_aware_v1
2026-04-27,Julius Randle,Minnesota Timberwolves,Denver Nuggets,ast,4.5,18,0.0,0.9997,0.0003,0.3667,0.5455,-0.1788,cal_role_aware_v1
2026-04-27,Julius Randle,Minnesota Timberwolves,Denver Nuggets,ast,4.5,19,0.0,0.9997,0.0003,0.3667,0.5455,-0.1788,cal_role_aware_v1
2026-04-27,Julius Randle,Minnesota Timberwolves,Denver Nuggets,ast,4.5,20,0.0,0.9997,0.0003,0.3667,0.5455,-0.1788,cal_role_aware_v1
2026-04-27,Julius Randle,Minnesota Timberwolves,Denver Nuggets,ast,4.5,21,0.0,0.9997,0.0003,0.3667,0.5455,-0.1788,cal_role_aware_v1
2026-04-27,Julius Randle,Minnesota Timberwolves,Denver Nuggets,ast,4.5,22,0.0,0.9997,0.0003,0.3667,0.5455,-0.1788,cal_role_aware_v1
2026-04-27,Julius Randle,Minnesota Timberwolves,Denver Nuggets,ast,4.5,23,0.0,0.9997,0.0003,0.3667,0.5455,-0.1788,cal_role_aware_v1
2026-04-27,Julius Randle,Minnesota Timberwolves,Denver Nuggets,ast,4.5,24,0.0,0.9997,0.0003,0.3667,0.5455,-0.1788,cal_role_aware_v1
2026-04-27,Julius Randle,Minnesota Timberwolves,Denver Nuggets,ast,4.5,25,0.0003,1.0,0.0003,0.3667,0.5455,-0.1788,cal_role_aware_v1
2026-04-27,Julius Randle,Minnesota Timberwolves,Denver Nuggets,fg3m,1.5,0,0.1411,0.1411,1.0,0.4986,0.4356,0.063,cal_role_aware_v1+fg3m_tail_shrink_k7_w0.2
2026-04-27,Julius Randle,Minnesota Timberwolves,Denver Nuggets,fg3m,1.5,1,0.3603,0.5014,0.8589,0.4986,0.4356,0.063,cal_role_aware_v1+fg3m_tail_shrink_k7_w0.2
2026-04-27,Julius Randle,Minnesota Timberwolves,Denver Nuggets,fg3m,1.5,2,0.2559,0.7572,0.4986,0.4986,0.4356,0.063,cal_role_aware_v1+fg3m_tail_shrink_k7_w0.2
2026-04-27,Julius Randle,Minnesota Timberwolves,Denver Nuggets,fg3m,1.5,3,0.1443,0.9015,0.2428,0.4986,0.4356,0.063,cal_role_aware_v1+fg3m_tail_shrink_k7_w0.2
2026-04-27,Julius Randle,Minnesota Timberwolves,Denver Nuggets,fg3m,1.5,4,0.0592,0.9607,0.0985,0.4986,0.4356,0.063,cal_role_aware_v1+fg3m_tail_shrink_k7_w0.2
2026-04-27,Julius Randle,Minnesota Timberwolves,Denver Nuggets,fg3m,1.5,5,0.0356,0.9963,0.0393,0.4986,0.4356,0.063,cal_role_aware_v1+fg3m_tail_shrink_k7_w0.2
2026-04-27,Julius Randle,Minnesota Timberwolves,Denver Nuggets,fg3m,1.5,6,0.0,0.9963,0.0037,0.4986,0.4356,0.063,cal_role_aware_v1+fg3m_tail_shrink_k7_w0.2
2026-04-27,Julius Randle,Minnesota Timberwolves,Denver Nuggets,fg3m,1.5,7,0.0,0.9963,0.0037,0.4986,0.4356,0.063,cal_role_aware_v1+fg3m_tail_shrink_k7_w0.2
2026-04-27,Julius Randle,Minnesota Timberwolves,Denver Nuggets,fg3m,1.5,8,0.0,0.9963,0.0037,0.4986,0.4356,0.063,cal_role_aware_v1+fg3m_tail_shrink_k7_w0.2
2026-04-27,Julius Randle,Minnesota Timberwolves,Denver Nuggets,fg3m,1.5,9,0.0,0.9963,0.0037,0.4986,0.4356,0.063,cal_role_aware_v1+fg3m_tail_shrink_k7_w0.2
2026-04-27,Julius Randle,Minnesota Timberwolves,Denver Nuggets,fg3m,1.5,10,0.0,0.9963,0.0037,0.4986,0.4356,0.063,cal_role_aware_v1+fg3m_tail_shrink_k7_w0.2
2026-04-27,Julius Randle,Minnesota Timberwolves,Denver Nuggets,fg3m,1.5,11,0.0,0.9963,0.0037,0.4986,0.4356,0.063,cal_role_aware_v1+fg3m_tail_shrink_k7_w0.2
2026-04-27,Julius Randle,Minnesota Timberwolves,Denver Nuggets,fg3m,1.5,12,0.0,0.9963,0.0037,0.4986,0.4356,0.063,cal_role_aware_v1+fg3m_tail_shrink_k7_w0.2
2026-04-27,Julius Randle,Minnesota Timberwolves,Denver Nuggets,fg3m,1.5,13,0.0,0.9963,0.0037,0.4986,0.4356,0.063,cal_role_aware_v1+fg3m_tail_shrink_k7_w0.2
2026-04-27,Julius Randle,Minnesota Timberwolves,Denver Nuggets,fg3m,1.5,14,0.0,0.9963,0.0037,0.4986,0.4356,0.063,cal_role_aware_v1+fg3m_tail_shrink_k7_w0.2
2026-04-27,Julius Randle,Minnesota Timberwolves,Denver Nuggets,fg3m,1.5,15,0.0037,1.0,0.0037,0.4986,0.4356,0.063,cal_role_aware_v1+fg3m_tail_shrink_k7_w0.2
2026-04-27,Bruce Brown,Denver Nuggets,Minnesota Timberwolves,fg3m,0.5,0,0.4929,0.4929,1.0,0.5071,0.4853,0.0218,cal_role_aware_v1+fg3m_tail_shrink_k7_w0.2
2026-04-27,Bruce Brown,Denver Nuggets,Minnesota Timberwolves,fg3m,0.5,1,0.3521,0.8451,0.5071,0.5071,0.4853,0.0218,cal_role_aware_v1+fg3m_tail_shrink_k7_w0.2
2026-04-27,Bruce Brown,Denver Nuggets,Minnesota Timberwolves,fg3m,0.5,2,0.1504,0.9955,0.1549,0.5071,0.4853,0.0218,cal_role_aware_v1+fg3m_tail_shrink_k7_w0.2
