stat,role_bucket,n,raw_model_logloss,active_model_logloss,market_logloss,raw_model_brier,active_model_brier,market_brier,delta_logloss_active_vs_market,delta_brier_active_vs_market,event_neutral_applied_count,pmf_mean_shift_applied_count,mean_bias_before,mean_bias_after,calibration_pass,model_better_calibrated,market_superiority_pass,bootstrap_ci_pass,strict_claimable,remaining_primary_blocker,remaining_secondary_blockers,next_repair_family,do_not_claim_reason,market_superiority_eligible,ledger_dominant_failure
fg3m,rotation,999,0.6464888429751032,0.6464888429751032,0.6342293988497353,0.22401775382049,0.22401775382049,0.22187346321436785,0.012259444125367946,0.0021442906061221456,0,0,0.08656492492492487,0.08656492492492487,False,False,False,False,False,variance_too_narrow,mean_delta_not_negative|bootstrap_ci_not_better,pmf_variance_temperature,market_superiority_fail|calibration_fail|bootstrap_math_fail|mean_delta_math_fail,True,variance_too_narrow
fg3m,starter,2289,0.6983055607374294,0.6623952529385049,0.6576844070892998,0.2497586140012228,0.23624250548377054,0.2333485991863682,0.004710845849205114,0.0028939062974023544,2289,0,-0.015090980166011328,-0.015090980166011328,False,False,False,False,False,bootstrap_ci_not_better,mean_delta_not_negative|bootstrap_ci_not_better,needs_more_data_or_more_stable_edges,market_superiority_fail|calibration_fail|bootstrap_math_fail|mean_delta_math_fail,True,model_prob_too_high_or_overconfident_side
fg3m,unknown,0,,,,,,,,,0,0,,,False,False,False,True,False,low_market_coverage,nan,no_repair_allowed_without_feature_model_work,market_superiority_fail|calibration_fail,False,insufficient_scored_rows
tov,nan,0,,,,,,,,,0,0,,,False,False,False,True,False,low_market_coverage,,no_repair_allowed_without_feature_model_work,market_superiority_fail|calibration_fail,False,
tov,bench,0,,,,,,,,,0,0,,,False,False,False,True,False,low_market_coverage,nan,no_repair_allowed_without_feature_model_work,market_superiority_fail|calibration_fail,False,insufficient_scored_rows
tov,core,8,0.8221322170176193,0.8221322170176193,0.6625758091679305,0.3129828333333333,0.3129828333333333,0.23476244123051596,0.15955640784968883,0.07822039210281737,0,0,-0.9161666666666668,-0.9161666666666668,False,False,False,True,False,low_market_coverage,nan,no_repair_allowed_without_feature_model_work,market_superiority_fail|calibration_fail,False,insufficient_scored_rows
tov,fringe,0,,,,,,,,,0,0,,,False,False,False,True,False,low_market_coverage,nan,no_repair_allowed_without_feature_model_work,market_superiority_fail|calibration_fail,False,insufficient_scored_rows
tov,inactive_risk,1,1.3983669423541598,1.3983669423541598,0.6743672859083488,0.567009,0.567009,0.24061117225578932,0.723999656445811,0.32639782774421067,0,0,-2.5246666666666666,-2.5246666666666666,False,False,False,True,False,low_market_coverage,nan,no_repair_allowed_without_feature_model_work,market_superiority_fail|calibration_fail,False,insufficient_scored_rows
tov,rotation,0,,,,,,,,,0,0,,,False,False,False,True,False,low_market_coverage,nan,no_repair_allowed_without_feature_model_work,market_superiority_fail|calibration_fail,False,insufficient_scored_rows
tov,starter,31,0.8380870047397194,0.8380870047397194,0.7024901465098004,0.31854693906810033,0.31854693906810033,0.2545973900144258,0.13559685822991907,0.06394954905367456,0,0,-1.108967741935484,-1.108967741935484,False,False,False,True,False,low_market_coverage,nan,no_repair_allowed_without_feature_model_work,market_superiority_fail|calibration_fail,False,insufficient_scored_rows
tov,unknown,0,,,,,,,,,0,0,,,False,False,False,True,False,low_market_coverage,nan,no_repair_allowed_without_feature_model_work,market_superiority_fail|calibration_fail,False,insufficient_scored_rows
stl,nan,0,,,,,,,,,0,0,,,False,False,False,True,False,low_market_coverage,,no_repair_allowed_without_feature_model_work,market_superiority_fail|calibration_fail,False,
